연도,행정구역,연앙인구수(천명),재정자립도(%),통계방식변경,제조업종사자수,상용월평균급여(원),문화예술활동(건),대학수(천명당),문화기반시설수(십만명당),전체산업종사자수(천명당),기업규모구조,지역내총생산(십억원)
2023,경상북도,2558.2135,25.34,1.0,320444.0,3959529.0,1496.0,0.014854115968037852,8.756110465369682,493.841503064541,681.5040815960239,127412.315
2023,광주광역시,1420.562,42.32,1.0,82335.0,3731141.0,1657.0,0.012671041461055556,6.194731380960493,477.8024472004742,362.96172406843186,51423.328
2023,대구광역시,2372.562,47.38,1.0,164964.0,3588057.0,2569.0,0.005479308865268853,4.299150032749408,433.61775161197056,658.1557118892674,72359.049
2023,대전광역시,1438.846,42.32,1.0,66422.0,3886943.0,1421.0,0.01390002821705728,4.309008747287757,493.17995115530084,340.2044215442285,53317.422
2023,부산광역시,3291.326,45.96,1.0,205191.0,3772199.0,3047.0,0.006988064992650378,4.375136343224585,472.47978474329193,848.7304916502956,116365.537
2023,서울특별시,9334.9335,75.37,1.0,241919.0,4784452.0,15548.0,0.00942695521076824,5.024138629375346,621.3881437934186,1894.6080831426207,553011.544
2023,세종특별자치시,384.2765,57.19,1.0,23411.0,4096606.0,437.0,0.010409171521027176,6.765961488667665,425.8652298540244,80.06993201038802,16740.013
2023,울산광역시,1103.825,49.81,1.0,171192.0,4716772.0,685.0,0.0054356442370846825,4.529703530903903,499.7422598690915,233.4523400733828,89412.238
2023,인천광역시,2966.979,52.43,1.0,246065.0,3798573.0,1712.0,0.0033704316747776106,4.448969810706446,424.25612045113905,759.6755461236027,117658.396
2023,전라남도,1806.802,23.86,1.0,129241.0,3956912.0,1408.0,0.010515817449836784,13.283137831372779,491.67091911565296,494.2736911044271,98793.381
2023,전북특별자치도,1757.041,23.81,1.0,120105.0,3595663.0,1901.0,0.011382773651838518,10.699807232728206,454.79359901106466,527.1776043491917,63751.865
2023,제주특별자치도,673.099,33.32,1.0,12966.0,3362104.0,1170.0,0.005942662223536211,18.719386004139064,488.4467218046676,202.93308476669316,26094.554
2023,충청남도,2119.9505,33.62,1.0,311475.0,4028341.0,1549.0,0.011321019052095793,9.387011630696094,519.2333500239746,531.8109863075052,141759.598
2023,충청북도,1589.702,32.1,1.0,227470.0,3836045.0,1176.0,0.011322876866230274,8.932491750026106,531.6141012592298,382.5255942577753,87591.806
2024,강원특별자치도,1517.3595,25.22,1.0,62173.0,3659521.0,1767.0,0.011203673223122141,16.27827815359511,495.1120680366123,432.63538465024897,64615.611
2024,경기도,13598.2215,55.09,1.0,1360933.0,4401527.0,5453.0,0.005736044231960775,4.574127579845644,461.052572205858,3480.5662016423967,651417.234
2024,경상남도,3229.883,33.63,1.0,412477.0,4113065.0,2743.0,0.00650178350113611,7.213883598879588,482.27443532784315,837.2287030423255,151241.35
2024,경상북도,2535.499,24.56,1.0,317918.0,4175761.0,1433.0,0.014592788244049791,8.834552882884198,506.1031378833122,680.8256543144454,134698.401
