연도,행정구역,연앙인구수(명),연앙인구수(천명),지역내총생산,재정자립도(%),통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수,상용월평균급여(원),학교수,문화기반시설수,문화예술활동(건),19세,20~24세,25~29세,30~34세,35~39세
2020,대전광역시,1459158.5,1459.1585,46659399.0,41.43,1.0,164406.0,691264.0,67835.0,3526414.0,20.0,62.0,461.0,22736.0,118916.0,109481.0,89214.0,101066.0
2020,부산광역시,3366576.5,3366.5765,98225367.0,49.16,1.0,402003.0,1537281.0,216869.0,3382497.0,24.0,131.0,1003.0,35874.0,208516.0,217205.0,183399.0,219837.0
2020,서울특별시,9533412.0,9533.412,472863219.0,76.08,1.0,1211053.0,5868926.0,284356.0,4177937.0,88.0,429.0,5539.0,100129.0,625922.0,795700.0,692702.0,711638.0
2020,세종특별자치시,347069.5,347.0695,14005902.0,59.31,1.0,28490.0,139731.0,20429.0,3755869.0,4.0,23.0,81.0,4190.0,20512.0,19927.0,24887.0,34059.0
2020,울산광역시,1136113.5,1136.1135,67807980.0,51.56,1.0,117247.0,543424.0,175733.0,4165556.0,6.0,47.0,342.0,10535.0,65714.0,71870.0,66456.0,83173.0
2020,인천광역시,2922121.0,2922.121,95297255.0,54.02,1.0,306108.0,1208269.0,253606.0,3442684.0,10.0,120.0,467.0,29784.0,176352.0,206715.0,178600.0,212499.0
2020,전국,51349259.0,51349.259,,,,,,,,,,,563850.0,3193316.0,3423231.0,3032832.0,3594213.0
2020,전라남도,1847811.0,1847.811,81298601.0,23.25,1.0,228219.0,847692.0,125923.0,3660743.0,19.0,228.0,429.0,16377.0,92307.0,86664.0,75955.0,100239.0
2020,전북특별자치도,1799898.5,1799.8985,56361767.0,24.86,1.0,225964.0,794929.0,120948.0,3326867.0,21.0,180.0,868.0,21852.0,115947.0,97122.0,81111.0,102185.0
2020,제주특별자치도,667268.5,667.2685,21668785.0,32.89,1.0,94001.0,318891.0,13851.0,2890236.0,4.0,135.0,272.0,6291.0,36772.0,38934.0,33811.0,45994.0
2020,충청남도,2108087.5,2108.0875,122866948.0,34.38,1.0,253192.0,1064810.0,314229.0,3747802.0,24.0,176.0,358.0,25265.0,127916.0,119515.0,117222.0,144801.0
2020,충청북도,1590372.0,1590.372,75771650.0,30.07,1.0,191265.0,808018.0,224247.0,3512114.0,18.0,138.0,396.0,20471.0,106223.0,101030.0,86765.0,103470.0
2021,강원특별자치도,1530536.5,1530.5365,55267031.0,24.52,1.0,200365.0,714310.0,64204.0,3353549.0,18.0,241.0,881.0,15130.0,91223.0,84751.0,73709.0,83438.0
2021,경기도,13398945.0,13398.945,563385809.0,57.29,1.0,1481054.0,5994570.0,1373285.0,3938130.0,80.0,591.0,3522.0,126386.0,787648.0,920787.0,856307.0,969980.0
2021,경상남도,3311248.5,3311.2485,118229847.0,33.47,1.0,392614.0,1511931.0,406186.0,3744367.0,23.0,228.0,1667.0,26955.0,168540.0,174945.0,165058.0,206836.0
2021,경상북도,2619827.5,2619.8275,118718919.0,24.93,1.0,328657.0,1234314.0,315862.0,3882801.0,38.0,221.0,1635.0,25130.0,141802.0,134123.0,124380.0,148098.0
2021,광주광역시,1438867.5,1438.8675,47377153.0,40.85,1.0,170973.0,676261.0,87325.0,3458315.0,18.0,74.0,902.0,17327.0,106097.0,103700.0,82747.0,96670.0
2021,대구광역시,2387449.5,2387.4495,66531828.0,44.65,1.0,279798.0,1004563.0,169828.0,3313281.0,13.0,95.0,2062.0,24118.0,152109.0,156459.0,132616.0,145701.0
2021,대전광역시,1449628.0,1449.628,48803055.0,39.85,1.0,164095.0,688457.0,67179.0,3641586.0,20.0,63.0,1001.0,20146.0,115568.0,110698.0,90640.0,95114.0
2021,부산광역시,3343353.0,3343.353,106510275.0,46.06,1.0,401254.0,1544504.0,213028.0,3563487.0,23.0,139.0,1856.0,30565.0,199849.0,216226.0,186247.0,204935.0
2021,서울특별시,9453878.0,9453.878,507460707.0,75.59,1.0,1188091.0,5771226.0,267489.0,4451538.0,88.0,435.0,12533.0,87844.0,599600.0,795367.0,699372.0,673812.0
2021,세종특별자치시,362921.5,362.9215,15455438.0,58.76,1.0,30478.0,152974.0,21081.0,3845965.0,4.0,24.0,155.0,3599.0,18836.0,20285.0,25605.0,33387.0
2021,울산광역시,1124040.5,1124.0405,79762196.0,49.57,1.0,115408.0,543984.0,177408.0,4330712.0,6.0,44.0,635.0,9001.0,60707.0,70754.0,65838.0,76733.0
2021,인천광역시,2921874.5,2921.8745,104386038.0,50.33,1.0,308892.0,1223448.0,250357.0,3611547.0,10.0,126.0,1131.0,26579.0,168369.0,206383.0,184385.0,202693.0
2021,전국,51333252.5,51333.2525,,,,,,,,,,,490609.0,3066118.0,3439492.0,3080905.0,3408007.0
2021,전라남도,1833020.5,1833.0205,93701706.0,22.21,1.0,234688.0,856478.0,126107.0,3803956.0,19.0,230.0,814.0,13902.0,87062.0,87269.0,75116.0,94367.0
2021,전북특별자치도,1786321.5,1786.3215,59431746.0,23.08,1.0,231380.0,791096.0,121697.0,3372498.0,20.0,180.0,1114.0,19060.0,110932.0,98188.0,80983.0,96120.0
2021,제주특별자치도,670992.5,670.9925,22757094.0,32.66,1.0,96131.0,323316.0,13819.0,3073063.0,4.0,130.0,647.0,5372.0,34893.0,39493.0,34757.0,43494.0
2021,충청남도,2109102.0,2109.102,135882266.0,32.33,1.0,261263.0,1082844.0,318380.0,4051811.0,24.0,183.0,749.0,22599.0,123739.0,119588.0,115955.0,137511.0
2021,충청북도,1591246.0,1591.246,80518621.0,28.33,1.0,194561.0,817324.0,224302.0,3565888.0,18.0,141.0,620.0,16896.0,99144.0,100476.0,87190.0,99118.0
2022,강원특별자치도,1531310.5,1531.3105,57723494.0,24.69,1.0,203375.0,727557.0,64520.0,3467718.0,18.0,246.0,1020.0,14820.0,87750.0,84742.0,76667.0,78664.0
2022,경기도,13503168.5,13503.1685,587328570.0,61.57,1.0,1514951.0,6103213.0,1387627.0,4027984.0,80.0,609.0,4274.0,121066.0,739484.0,908543.0,891285.0,920405.0
2022,경상남도,3285522.5,3285.5225,126917220.0,32.78,1.0,397699.0,1529668.0,412666.0,3894262.0,23.0,235.0,2244.0,25018.0,155461.0,168933.0,164963.0,189669.0
2022,경상북도,2604744.5,2604.7445,121411361.0,25.58,1.0,333276.0,1255587.0,325945.0,3954228.0,38.0,232.0,1467.0,23307.0,133295.0,130916.0,124449.0,137252.0
2022,광주광역시,1431266.5,1431.2665,49223290.0,41.14,1.0,170894.0,675251.0,88914.0,3599321.0,18.0,78.0,1579.0,17143.0,100201.0,102787.0,86080.0,89444.0
